id,email,password,role
1,bjksdkjvsd@mail.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,ADMIN
2,bjksdkjvsd2@mail.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
3,bnkjljek83sd@mail.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
4,genetics@hospital.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
5,pediatrics@clinic.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
6,researcher@institute.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
7,nurse@hospital.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
8,admin@clinic.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,ADMIN
9,lab@institute.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
10,surgeon@center.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
11,therapist@rehab.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
12,radiologist@imaging.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
13,dentist@clinic.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
14,psychiatrist@mental.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
15,oncologist@cancer.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
16,neurologist@neuro.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,DOCTOR
17,technician@lab.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
18,supervisor@health.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,ADMIN
19,intern@hospital.com,$2a$10$1jr6BtRN45FjDJoE/KT.kuPncJyP4Oxf/qmAGHsq6Mj2H9JX51taO,VIEWER
